"","Country.Name","deposit","discount","lending","moneymarket","estimate"
"1","Afghanistan, Islamic Republic of",NA,NA,15.075,0.2,1.71837708830549
"2","Albania",5.15028868776489,NA,11.0463498285579,NA,3.3988768703255
"3","Algeria",1.75,4,8,1.39389861111111,5.33333333333333
"4","Angola",4.35264755430064,20.5555555555556,17.0740809197175,7.63475693894461,27.4074074074074
"5","Anguilla",3.84066284522332,6.5,9.25031343086086,5.71820138888889,8.66666666666667
"6","Antigua and Barbuda",3.19338556443273,6.5,10.3413341531889,5.66843472222222,8.66666666666667
"7","Argentina",12.5190406051227,NA,15.0983333333333,10.9575,94.1455847255367
"8","Armenia, Republic of",9.65913953893247,NA,16.9931764638591,8.19808306811747,70.4369905613911
"9","Aruba",1.61666666666667,1,9.18888888888889,0.05,1.33333333333333
"10","Australia",3.83472222222222,NA,6.96388888888889,3.70895833333333,31.8669451073985
"11","Azerbaijan, Republic of",10.3269444444445,NA,18.5147222222222,NA,5.6968376068376
"12","Bahamas, The",2.10859173429766,NA,4.85416666666667,NA,1.49358974358974
"13","Bahrain, Kingdom of",1.055,NA,6.25361111111111,0.6,5.15513126491646
"14","Bangladesh",10.9617396810482,5,13.0833333333333,NA,6.66666666666667
"15","Barbados",2.58333333333333,7,8.7,NA,9.33333333333333
"16","Belarus",18.6222222222222,NA,17.4,NA,5.35384615384615
"17","Belgium",NA,1.33333333333333,NA,NA,1.77777777777778
"18","Belize",4.81277777777778,NA,12.4577777777778,NA,3.83316239316239
"19","Benin",3.5,NA,NA,NA,NA
"20","Bhutan",5.33333333333333,NA,14,NA,4.30769230769231
"21","Bolivia",1.58945758378314,4.16666666666667,11.033913161363,1.37883375229757,5.55555555555556
"22","Bosnia and Herzegovina",2.93362222222222,NA,7.10328055555556,NA,2.18562478632479
"23","Botswana",3.9549925,8.83333333333333,10.7297444444444,NA,11.7777777777778
"24","Brazil",8.90231170117486,15.8783038486118,35.9705555555555,9.43946740058021,21.1710717981491
"25","Brunei Darussalam",0.277590524691358,NA,5.5,NA,1.69230769230769
"26","Bulgaria",2.95524722222222,NA,9.79794722222221,0.104547222222222,0.898257756563245
"27","Burkina Faso",3.5,NA,NA,NA,NA
"28","Burundi",NA,13.5366666666667,14.2333333333333,NA,18.0488888888889
"29","Cabo Verde",3.77108331593379,8.25,10.0770872271704,NA,11
"30","Cambodia",1.33841219135803,NA,NA,NA,NA
"31","Cameroon",3.23611111111111,3.75,NA,NA,5
"32","Canada",0.502777777777778,NA,3,1.00027777777778,8.5942720763723
"33","CEMAC",3.23611111111111,3.75,NA,NA,5
"34","Central African Republic",3.23611111111111,3.75,NA,NA,5
"35","Chad",3.23611111111111,3.75,NA,NA,5
"36","Chile",5.41464138608899,4.91666666666667,9.44976391599227,4.8660171957672,6.55555555555556
"37","China, P.R.: Hong Kong",0.01,0.5,5,0.0833333333333333,0.666666666666667
"38","China, P.R.: Macao",0.0533654962925498,NA,5.25,0.309423333333333,2.65852983293556
"39","China, P.R.: Mainland",3.16666666666667,3.25,6.18666666666667,NA,4.33333333333333
"40","Colombia",4.59657866686758,6.16666666666667,11.5968482743289,4.14801236111111,8.22222222222222
"41","Comoros",1.75,1.89703333333333,10.5,NA,2.52937777777778
"42","Congo, Democratic Republic of",8.59494444444446,10.25,30.5220271071429,4.79166666666667,13.6666666666667
"43","Congo, Republic of",3.23611111111111,3.75,NA,NA,5
"44","Costa Rica",4.20842592592593,NA,16.5155555555556,NA,5.0817094017094
"45","Cote d'Ivoire",3.5,NA,NA,NA,NA
"46","Croatia",1.7,7,9.47055555555556,0.932828621767826,9.33333333333333
"47","Czech Republic",0.974700268663493,NA,5.3648165281065,0.871944444444446,7.49164677804296
"48","Denmark",NA,NA,NA,0.314906111111111,2.70563723150358
"49","Djibouti",2.0033333335,NA,10.60666667,NA,3.26358974461538
"50","Dominica",3.11696271425454,6.5,8.98577384782794,5.66843472222222,8.66666666666667
"51","Dominican Republic",7.12939803709038,NA,14.8746335122316,7.47722222222222,64.2434367541766
"52","Eastern Caribbean Currency Union",3.25021989110983,6.5,9.57837174482819,5.66865416666667,8.66666666666667
"53","Ecuador",3.87472222222222,8.17,NA,NA,10.8933333333333
"54","Egypt",7.35555555555556,9.25,11.775,NA,12.3333333333333
"55","El Salvador",NA,NA,NA,NA,NA
"56","Equatorial Guinea",3.23611111111111,3.75,NA,NA,5
"57","Estonia",0.78622350859459,1.33333333333333,5.7428637075684,NA,1.77777777777778
"58","Ethiopia",NA,NA,NA,NA,NA
"59","Euro Area",NA,1.33333333333333,NA,0.308492835450139,1.77777777777778
"60","Fiji",2.74552609104803,1,6.84628157004279,NA,1.33333333333333
"61","Finland",NA,1.33333333333333,NA,0.728243019656925,1.77777777777778
"62","France",2.16666666666667,1.33333333333333,NA,NA,1.77777777777778
"63","Gabon",3.23611111111111,3.75,NA,NA,5
"64","Gambia, The",12.2286111111111,14.745,28,NA,19.66
"65","Georgia",10.6566449173842,NA,14.4661694236884,5.7209950922724,49.1541344443452
"66","Germany",NA,1.33333333333333,NA,0.532083333333333,1.77777777777778
"67","Ghana",10.4363888888889,NA,NA,14.2519444444445,122.45107398568
"68","Grenada",2.87033877899047,6.5,9.89402861279613,5.71825138888889,8.66666666666667
"69","Guatemala",5.32972222222222,NA,13.5047222222222,NA,4.15529914529915
"70","Guinea-Bissau",3.5,NA,NA,NA,NA
"71","Guyana",1.53259074074074,NA,13.9375046296296,NA,4.28846296296296
"72","Haiti",0.473055555555555,NA,9.75555555555556,NA,3.0017094017094
"73","Honduras",9.5881686111111,NA,19.0296991666667,NA,5.85529205128206
"74","Hungary",4.6465603509,5.25,7.88669689975556,NA,7
"75","Iceland",NA,6.58333333333333,8.05802597062915,4.69722222222222,8.77777777777778
"76","India",NA,7.91666666666667,10.3541666666667,8.90555555555555,10.5555555555556
"77","Indonesia",6.38055555555556,NA,11.9519444444444,4.82042206317653,41.4165141466241
"78","Iran, Islamic Republic of",13.5787308588645,NA,11,NA,3.38461538461538
"79","Iraq",5.84444444444445,NA,13.2555555555556,NA,4.07863247863248
"80","Ireland",NA,1.33333333333333,NA,0.489333333333333,1.77777777777778
"81","Israel",2.36205255,2.23360832863384,5.76032897083333,NA,2.97814443817845
"82","Italy",NA,1.33333333333333,4.98861111111111,2.42291666666666,1.77777777777778
"83","Jamaica",3.68397494946413,NA,18.284669700763,4.51654841269841,38.8056665530174
"84","Japan",0.493916666666667,0.3,1.40405555555556,0.0785,0.4
"85","Jordan",4.00472222222222,4.66666666666667,8.83472222222222,3.42461111111111,6.22222222222222
"86","Kenya",8.61415924198641,NA,17.3612081117465,NA,5.34191018822969
"87","Korea, Republic of",3.58138888888889,1.25,5.26555555555556,2.9175,1.66666666666667
"88","Kosovo, Republic of",3.24773535440287,NA,12.5975797541941,NA,3.87617838590589
"89","Kuwait",2.10154166666667,2.25,5.08844166666667,0.87285,3
"90","Kyrgyz Republic",5.52101821341058,8.44633333333332,23.07,8.07748379148141,11.2617777777778
"91","Lao People's Democratic Republic",NA,NA,NA,NA,NA
"92","Latvia",0.334722222222222,2.08333333333333,5.94305555555555,0.205555555555556,2.77777777777778
"93","Lebanon",5.82833333333333,10,7.375,NA,13.3333333333333
"94","Lesotho",2.79833333333333,9.278,10.1561111111111,NA,12.3706666666667
"95","Liberia",3.46834575545545,NA,13.5861865493955,NA,4.18036509212169
"96","Libya",2.5,3,6,NA,4
"97","Lithuania",NA,NA,NA,0.3375,2.89976133651551
"98","Macedonia, FYR",5.13958522161517,3.75,8.46891390771222,NA,5
"99","Madagascar",10.6333333333333,NA,57.5,9.5,81.6229116945107
"100","Malawi",11.1995643939394,21,34.0303451178451,NA,28
"101","Malaysia",2.95388888888889,NA,4.77111111111111,2.95333333333333,25.3747016706444
"102","Maldives",3.90353909110684,14.6666666666667,10.6076446074916,NA,19.5555555555556
"103","Mali",3.5,NA,NA,NA,NA
"104","Malta",NA,1.33333333333333,4.72416666666667,NA,1.77777777777778
"105","Mauritania",6.905,9,17,NA,12
"106","Mauritius",6.71805555555555,NA,8.69444444444445,1.99872107648848,17.1727825187554
"107","Mexico",1.12305555555556,NA,4.63166666666666,4.63166666666667,39.7947494033413
"108","Micronesia, Federated States of",0.510555555555556,NA,14.4983333333333,NA,4.46102564102564
"109","Moldova",7.47771603348039,NA,13.3834549328108,6.9375,59.6062052505966
"110","Mongolia",11.2645598131238,NA,17.7350912230839,NA,5.45695114556427
"111","Montenegro",3.10214444444445,NA,9.54638888888889,NA,2.93735042735043
"112","Montserrat",2.27593561241732,6.5,8.23978044475513,5.69991805555556,8.66666666666667
"113","Morocco",3.835,3.09722222222222,NA,3.17869588667008,4.12962962962963
"114","Mozambique",11.0701120268986,9.95,17.0806171075838,7.69730194456557,13.2666666666667
"115","Myanmar",9.1111111111111,10.6666666666667,14.1111111111111,NA,14.2222222222222
"116","Namibia",4.15625,NA,8.55701388888889,NA,2.63292735042735
"117","Nepal",NA,1.33333333333333,NA,NA,1.77777777777778
"118","Netherlands",2.67187916666667,1.33333333333333,1.8125,NA,1.77777777777778
"119","Netherlands Antilles",NA,NA,NA,NA,NA
"120","New Zealand",4.06908709980894,NA,5.82195422071292,2.47794718502233,21.2902383438673
"121","Nicaragua",1.28442247825219,NA,12.5055817117977,NA,3.84787129593775
"122","Niger",3.5,NA,NA,NA,NA
"123","Nigeria",7.35055555555556,12,16.5105555555556,NA,16
"124","Norway",NA,NA,NA,NA,NA
"125","Oman",2.603,7.5,5.74966666666667,0.132,10
"126","Pakistan",7.79222222222222,10.5,NA,10.577375,14
"127","Panama",2.19291666666666,NA,6.80333333333333,0.454791666666667,3.90751789976133
"128","Papua New Guinea",0.578611111111111,12.1111111111111,10.5844444444444,7.13111111111111,16.1481481481481
"129","Paraguay",4.06027777777778,20,17.9423648312549,6.85722222222222,26.6666666666667
"130","Peru",2.36983333333333,4.96666666666667,18.6846944444444,4.1915,6.62222222222222
"131","Philippines",2.73522222222223,3.92084722222222,6.03652777777778,3.65717222222222,5.2277962962963
"132","Poland",NA,NA,NA,3.92111731976883,33.6897908142429
"133","Qatar",1.61096227964466,NA,5.32694578571378,0.661433333333333,5.68295942720763
"134","Romania",5.45111111111111,5.44444444444444,11.3263888888889,4.31194444444445,7.25925925925926
"135","Russian Federation",5.18888888888889,NA,9.00833333333333,5.175,44.4630071599045
"136","Rwanda",NA,NA,NA,NA,NA
"137","Samoa",2.545,NA,10.0077777777778,NA,3.07931623931623
"138","San Marino",1.0825,NA,5.92,NA,1.82153846153846
"139","Sao Tome and Principe",11.5439814812963,NA,25.4660185187037,NA,7.835698005755
"140","Saudi Arabia",NA,NA,NA,0.854646444804441,7.34302434676846
"141","Senegal",3.5,NA,NA,NA,NA
"142","Serbia, Republic of",9.41666666666667,NA,17.48,10.68,91.761336515513
"143","Seychelles",2.93679992447551,NA,11.8893182393423,NA,3.65825176595148
"144","Sierra Leone",9.87018518518519,NA,20.8533333333333,NA,6.41641025641026
"145","Singapore",0.148055555555555,NA,5.38,0.396111111111111,3.40334128878281
"146","Slovak Republic",NA,NA,NA,NA,NA
"147","Slovenia",NA,1.33333333333333,NA,0.543602777777778,1.77777777777778
"148","Solomon Islands",1.05020607370807,NA,11.741738906441,NA,3.61284274044337
"149","South Africa",5.42055555555556,NA,8.75,5.04861111111111,43.3770883054892
"150","South Sudan",1.23172372800866,NA,14.4040959494851,NA,4.43202952291848
"151","Spain",NA,1.33333333333333,NA,0.478888888888889,1.77777777777778
"152","Sri Lanka",8.4436111111111,15,11.7709027777778,9.00916666666667,20
"153","St. Kitts and Nevis",4.15874001203757,6.5,8.98514345998684,5.66843472222222,8.66666666666667
"154","St. Lucia",3.16217536189467,6.5,9.52586125059034,5.66843472222222,8.66666666666667
"155","St. Vincent and the Grenadines",2.86701950445209,6.5,9.33018945186199,5.71825138888889,8.66666666666667
"156","Suriname",6.75737852976461,NA,11.8287030090354,NA,3.63960092585706
"157","Swaziland",2.465,5.16666666666667,8.75,2.465,6.88888888888889
"158","Sweden",NA,NA,NA,1.59866388888889,13.7355369928401
"159","Switzerland",0.03,NA,2.69861111111111,0.02,0.171837708830549
"160","Syrian Arab Republic",NA,NA,NA,NA,NA
"161","Tajikistan",7.49673612356755,NA,24.5742312418427,17.2269059832686,148.011602720207
"162","Tanzania",8.68509038146852,12,15.4129173788835,NA,16
"163","Thailand",2.65222222222222,3.25,6.99,2.74017045454546,4.33333333333333
"164","Timor-Leste, Dem. Rep. of",0.8839167559437,NA,11.8886855392293,NA,3.65805708899363
"165","Togo",3.5,NA,NA,NA,NA
"166","Tonga",3.15775275418921,NA,10.353627855517,NA,3.18573164785139
"167","Trinidad and Tobago",1.5,4.83333333333333,7.72583333333333,NA,6.44444444444444
"168","Tunisia",NA,NA,NA,4.12944444444444,35.4797136038186
"169","Turkey",15.4438888888889,13.5833333333333,NA,NA,18.1111111111111
"170","Uganda",13.6958570881198,20.5,23.7986534957235,NA,27.3333333333333
"171","Ukraine",10.5456333333333,NA,16.9962138888889,7.92213333333333,68.0660620525059
"172","United Kingdom",NA,NA,0.5,0.484166666666667,4.1599045346062
"173","United States",NA,0.75,3.25,0.116388888888889,1
"174","Uruguay",4.55079956487756,23.3333333333333,11.1383592857119,8.36728679805642,31.1111111111111
"175","Vanuatu",1.35416666666667,5.83333333333333,5.51666666666667,5.36111111111111,7.77777777777778
"176","Venezuela, Republica Bolivariana de",14.5341666666667,29.5,16.475,2.45208300474612,39.3333333333333
"177","Vietnam",10.5457222222222,NA,13.5998888888889,NA,4.1845811965812
"178","West African Economic and Monetary Union (WAEMU)",3.5,NA,NA,NA,NA
"179","West Bank and Gaza",0.49328527711836,NA,6.87705380342951,NA,2.11601655490139
"180","Yemen, Republic of",18.25,NA,23.8611111111111,NA,7.34188034188034
"181","Zambia",6.83808662573553,10.736545,13.5024746665706,NA,14.3153933333333
